"country","descrip_study","study_code","case_id","local_case_id","owner","education","interact_w_prof","gender_f1_m0","machin_s0_h1","assoc_inst","other_income","n_crops_tot","hive_use","commerce","access_credit","irrigation","fertil_yes1_no0","fertil_org1_ino0","family_tot_n","family_female_n","family_male_n","bee_importance","age","internet_access","certific","employee_tot_n","employee_male_n","employee_female_n","crops_area","property_ha","wild_veg_edge_incrop","wild_area_property","wild_area_ha","conserv_actions","activs_field0_admin1_both2","pestic_chem_appl_year","pestic_che0_org1"
"argentina","alto_valle","AV",13,"13",1,17,1,0,1,0,0,2,1,0,0,1,1,0,4,0,4,0,44,1,0,6,6,0,10.48,21.55,0,1,10.52,0,2,5,1
"argentina","alto_valle","AV",14,"14",1,17,1,0,1,0,0,1,1,0,1,1,1,0,3,0,3,0,42,1,1,4,4,0,6,6,0,0,0,0,1,5,1
"argentina","alto_valle","AV",15,"15",1,7,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,1,58,1,1,1,1,0,10.5,11.5,1,1,1,0,2,3,1
"argentina","alto_valle","AV",16,"16",1,7,1,0,1,0,0,4,0,0,1,1,1,1,0,0,0,1,49,1,1,4,4,0,19,19,0,0,0,0,0,6,1
"argentina","alto_valle","AV",17,"17",1,7,1,0,1,0,0,2,0,0,1,1,1,0,0,0,0,0,32,1,1,6,5,1,12,12,0,0,0,0,2,13,1
"argentina","alto_valle","AV",18,"18",1,7,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,67,1,1,3,3,0,12,12,1,0,0,0,2,2,1
"argentina","alto_valle","AV",19,"19",1,17,1,0,1,0,1,2,1,1,1,1,1,0,1,0,1,1,37,1,0,7,7,0,13,13,0,0,0,1,2,6,1
"argentina","alto_valle","AV",20,"20",1,14,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,37,1,0,3,3,0,10,10,1,1,1,0,2,3,1
"argentina","alto_valle","AV",21,"21",1,17,1,0,1,1,0,2,1,1,1,1,1,1,3,2,1,1,43,1,1,4,4,0,18,18,1,0,0,0,2,4,1
"argentina","alto_valle","AV",22,"22",1,12,1,0,1,0,0,2,1,0,1,1,1,0,2,1,1,1,60,1,0,2,2,0,12.45,12.45,1,0,0,0,2,8,1
"argentina","alto_valle","AV",23,"23",1,12,1,0,1,1,0,2,1,1,1,1,1,1,0,0,0,1,41,1,0,4,4,0,30,70,1,1,40,1,2,3,1
"argentina","alto_valle","AV",24,"24",1,12,1,1,1,1,0,3,1,0,0,1,1,0,0,0,0,1,64,1,0,3,3,0,5,6,1,0,0,0,2,2,1
"argentina","alto_valle","AV",25,"25",1,14,1,0,1,0,1,2,0,0,0,1,1,0,1,1,0,1,41,1,1,9,7,2,9,27,1,1,18,1,2,NA,NA
"argentina","alto_valle","AV",26,"26",1,17,1,1,1,1,0,2,0,0,1,1,0,0,1,0,1,0,62,1,0,5,4,1,8,8,1,0,0,0,2,5,1
"argentina","alto_valle","AV",27,"27",1,17,1,1,1,0,0,2,1,0,0,1,1,0,5,2,3,1,37,1,0,15,14,1,12,12,1,0,0,0,2,18,1
"argentina","alto_valle","AV",28,"28",1,7,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,1,60,1,0,2,2,0,4,4,1,0,0,0,2,6,1
"argentina","alto_valle","AV",29,"29",1,17,0,0,0,0,1,1,0,1,0,1,1,1,2,1,1,1,41,1,0,0,0,0,1.25,2,1,1,0.75,1,2,0,0
"argentina","alto_valle","AV",30,"1",0,17,1,0,1,0,1,2,1,2,1,1,1,1,0,0,0,1,43,1,1,99,94,5,450,455,1,1,5,1,2,10,1
"argentina","alto_valle","AV",31,"2",0,17,1,0,1,1,0,2,1,1,0,1,1,0,2,1,1,1,31,1,0,25,23,2,100.5,114,1,1,1,0,1,8,0
"argentina","alto_valle","AV",32,"3",1,12,1,0,1,1,1,3,1,0,1,1,1,0,1,0,1,1,66,1,0,6,6,0,44,54,1,0,0,1,1,3,0
"argentina","alto_valle","AV",33,"4",1,12,1,0,1,1,1,2,0,0,0,1,1,1,1,0,1,0,78,1,0,8,8,0,29.5,32,0,0,0,0,2,6,0
"argentina","alto_valle","AV",34,"6",1,17,1,0,1,1,1,2,1,2,1,1,1,0,1,1,0,1,65,1,0,2,2,0,9,9,1,0,0,1,2,4,0
"argentina","alto_valle","AV",35,"7",1,14,1,0,1,0,1,2,1,0,1,1,1,0,0,0,0,1,47,1,1,2,2,0,20,20,1,0,0,0,2,7,0
"argentina","alto_valle","AV",36,"8",1,17,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,1,49,1,1,15,10,5,60,60,1,0,0,1,2,6.5,0
"argentina","alto_valle","AV",37,"9",1,12,1,0,1,1,0,2,0,0,1,1,1,0,0,0,0,0,39,1,1,5,5,0,30,30,1,0,0,1,2,5.5,0
"argentina","alto_valle","AV",38,"10",1,14,1,0,1,1,1,2,0,0,1,1,1,0,2,0,2,0,29,1,1,14,14,0,90,90,1,0,0,1,1,6,0
"argentina","alto_valle","AV",39,"11",1,17,NA,0,1,1,0,2,1,0,1,1,1,0,0,0,0,1,40,1,1,4,4,0,NA,NA,0,0,0,0,2,NA,0
"argentina","alto_valle","AV",40,"12",1,17,1,0,1,1,0,2,1,2,0,1,1,1,1,0,1,1,40,1,1,5,5,0,28,28,1,0,0,1,1,10,1
"argentina","alto_valle","AV",41,"13",1,12,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,75,1,1,4,4,0,5,5,1,0,0,0,1,4,0
